date,Irradiation
10/6/2023,3969.4
10/7/2023,3969.4
10/8/2023,3969.4
10/9/2023,3969.4
10/10/2023,3969.4
10/11/2023,3969.4
10/12/2023,3969.4
10/13/2023,3969.4
10/14/2023,3969.4
10/15/2023,3969.4
10/16/2023,3969.4
10/17/2023,3969.4
10/18/2023,3969.4
10/19/2023,3969.4
10/20/2023,3969.4
10/21/2023,3969.4
10/22/2023,3969.4
10/23/2023,3969.4
10/24/2023,3969.4
10/25/2023,3969.4
10/26/2023,3969.4
10/27/2023,3969.4
10/28/2023,3969.4
10/29/2023,3969.4
10/30/2023,3969.4
10/31/2023,3969.4
11/1/2023,2786.1
11/2/2023,2786.1
11/3/2023,2786.1
11/4/2023,2786.1
11/5/2023,2786.1
11/6/2023,2786.1
11/7/2023,2786.1
11/8/2023,2786.1
11/9/2023,2786.1
11/10/2023,2786.1
11/11/2023,2786.1
11/12/2023,2786.1
11/13/2023,2786.1
11/14/2023,2786.1
11/15/2023,2786.1
11/16/2023,2786.1
11/17/2023,2786.1
11/18/2023,2786.1
11/19/2023,2786.1
11/20/2023,2786.1
11/21/2023,2786.1
11/22/2023,2786.1
11/23/2023,2786.1
11/24/2023,2786.1
11/25/2023,2786.1
11/26/2023,2786.1
11/27/2023,2786.1
11/28/2023,2786.1
11/29/2023,2786.1
11/30/2023,2786.1
12/1/2023,2352.8
12/2/2023,2352.8
12/3/2023,2352.8
12/4/2023,2352.8
12/5/2023,2352.8
12/6/2023,2352.8
12/7/2023,2352.8
12/8/2023,2352.8
12/9/2023,2352.8
12/10/2023,2352.8
12/11/2023,2352.8
12/12/2023,2352.8
12/13/2023,2352.8
12/14/2023,2352.8
12/15/2023,2352.8
12/16/2023,2352.8
12/17/2023,2352.8
12/18/2023,2352.8
12/19/2023,2352.8
12/20/2023,2352.8
12/21/2023,2352.8
12/22/2023,2352.8
12/23/2023,2352.8
12/24/2023,2352.8
12/25/2023,2352.8
12/26/2023,2352.8
12/27/2023,2352.8
12/28/2023,2352.8
12/29/2023,2352.8
12/30/2023,2352.8
12/31/2023,2352.8
1/1/2024,3455.6
1/2/2024,3455.6
1/3/2024,3455.6
1/4/2024,3455.6
1/5/2024,3455.6
1/6/2024,3455.6
1/7/2024,3455.6
1/8/2024,3455.6
1/9/2024,3455.6
1/10/2024,3455.6
1/11/2024,3455.6
1/12/2024,3455.6
1/13/2024,3455.6
1/14/2024,3455.6
1/15/2024,3455.6
1/16/2024,3455.6
1/17/2024,3455.6
1/18/2024,3455.6
1/19/2024,3455.6
1/20/2024,3455.6
1/21/2024,3455.6
1/22/2024,3455.6
1/23/2024,3455.6
1/24/2024,3455.6
1/25/2024,3455.6
1/26/2024,3455.6
1/27/2024,3455.6
1/28/2024,3455.6
1/29/2024,3455.6
1/30/2024,3455.6
1/31/2024,3455.6
2/1/2024,4130.6
2/2/2024,4130.6
2/3/2024,4130.6
2/4/2024,4130.6
2/5/2024,4130.6
2/6/2024,4130.6
2/7/2024,4130.6
2/8/2024,4130.6
2/9/2024,4130.6
2/10/2024,4130.6
2/11/2024,4130.6
2/12/2024,4130.6
2/13/2024,4130.6
2/14/2024,4130.6
2/15/2024,4130.6
2/16/2024,4130.6
2/17/2024,4130.6
2/18/2024,4130.6
2/19/2024,4130.6
2/20/2024,4130.6
2/21/2024,4130.6
2/22/2024,4130.6
2/23/2024,4130.6
2/24/2024,4130.6
2/25/2024,4130.6
2/26/2024,4130.6
2/27/2024,4130.6
2/28/2024,4130.6
2/29/2024,4130.6
3/1/2024,5005.6
3/2/2024,5005.6
3/3/2024,5005.6
3/4/2024,5005.6
3/5/2024,5005.6
3/6/2024,5005.6
3/7/2024,5005.6
3/8/2024,5005.6
3/9/2024,5005.6
3/10/2024,5005.6
3/11/2024,5005.6
3/12/2024,5005.6
3/13/2024,5005.6
3/14/2024,5005.6
3/15/2024,5005.6
3/16/2024,5005.6
3/17/2024,5005.6
3/18/2024,5005.6
3/19/2024,5005.6
3/20/2024,5005.6
3/21/2024,5005.6
3/22/2024,5005.6
3/23/2024,5005.6
3/24/2024,5005.6
3/25/2024,5005.6
3/26/2024,5005.6
3/27/2024,5005.6
3/28/2024,5005.6
3/29/2024,5005.6
3/30/2024,5005.6
3/31/2024,5005.6
4/1/2024,5633.3
4/2/2024,5633.3
4/3/2024,5633.3
4/4/2024,5633.3
4/5/2024,5633.3
4/6/2024,5633.3
4/7/2024,5633.3
4/8/2024,5633.3
4/9/2024,5633.3
4/10/2024,5633.3
4/11/2024,5633.3
4/12/2024,5633.3
