,month,date,hour,Hieu suat,Total input power(kW)
111,4,2022-04-23,10,74.82305334558883,92.785
112,4,2022-04-23,11,72.7616368757825,95.953
113,4,2022-04-23,12,76.75275937540964,104.694
114,4,2022-04-23,13,79.96747487151961,103.815
115,4,2022-04-24,10,74.56609881453579,94.991
116,4,2022-04-24,11,76.48438390155464,99.581
117,4,2022-04-24,12,77.43257543778991,98.838
118,4,2022-04-24,13,79.964524221752,94.638
119,4,2022-04-25,9,75.27834669127321,84.543
120,4,2022-04-25,10,75.69690926784244,96.238
121,4,2022-04-25,11,76.40094942129937,98.452
122,4,2022-04-25,12,77.67672866201194,99.081
123,4,2022-04-25,13,79.91744443485312,94.397
124,4,2022-04-26,9,75.30323566080857,82.359
125,4,2022-04-26,10,75.43387047583325,92.591
126,4,2022-04-26,11,75.55256260730366,94.983
127,4,2022-04-26,12,77.41202448251941,94.26
128,4,2022-04-26,13,79.56297464765683,90.041
129,4,2022-04-26,14,79.66547651070734,78.974
130,4,2022-04-27,9,75.01280110713112,83.424
131,4,2022-04-27,10,75.30159703407183,92.7
132,4,2022-04-27,11,76.17051394283342,96.627
133,4,2022-04-27,12,77.23642519996629,95.728
134,4,2022-04-27,13,79.81579730895545,90.138
135,4,2022-04-27,14,79.84374782634427,79.295
136,4,2022-04-28,9,76.30079322636978,86.68
137,4,2022-04-28,10,75.51185005547225,97.713
138,4,2022-04-28,11,75.4109899368547,102.783
139,4,2022-04-28,12,78.6463971567712,101.926
140,4,2022-04-28,13,79.96892152490905,97.124
141,4,2022-04-29,9,76.80250046125349,93.562
142,4,2022-04-29,10,75.84880073222908,92.583
143,4,2022-04-29,11,77.04541139483982,104.459
144,4,2022-04-29,12,77.55866012057375,95.432
145,4,2022-04-29,13,79.97182791786217,88.118
146,5,2022-05-01,10,78.57046210640907,91.665
147,5,2022-05-02,11,76.00921704646676,81.648
148,5,2022-05-05,9,79.2588958368971,80.996
149,5,2022-05-05,10,78.50267191265327,112.211
150,5,2022-05-05,11,79.7902750061028,87.424
151,5,2022-05-05,13,79.8500945482965,93.591
152,5,2022-05-06,8,79.27385604055128,84.474
153,5,2022-05-06,9,77.17544554686069,99.747
154,5,2022-05-06,10,78.1941289241813,110.825
155,5,2022-05-06,11,77.19455795516643,112.108
156,5,2022-05-06,12,79.3408952766974,112.176
157,5,2022-05-06,13,77.65470363006987,105.546
158,5,2022-05-07,8,76.51897547408853,81.787
159,5,2022-05-07,9,78.15014794771773,101.298
160,5,2022-05-07,10,75.90413655717751,107.786
161,5,2022-05-07,11,76.6646517282236,108.982
162,5,2022-05-07,12,78.09238177409303,107.966
163,5,2022-05-07,13,79.67507096411664,97.312
164,5,2022-05-08,11,78.89756948529855,81.748
165,5,2022-05-09,12,78.30002727791735,108.715
166,5,2022-05-09,13,79.6127372362269,104.144
167,5,2022-05-10,8,76.27824699374648,80.755
168,5,2022-05-10,9,75.85878082322527,97.69
169,5,2022-05-10,10,79.16222736186867,108.751
170,5,2022-05-10,11,79.22127865530491,112.096
171,5,2022-05-10,12,77.77766294618151,108.834
172,5,2022-05-10,13,79.57739557154716,99.852
173,5,2022-05-11,9,79.39164148671853,89.933
174,5,2022-05-11,10,79.8317721909257,85.283
175,5,2022-05-11,11,77.21687155075672,92.379
176,5,2022-05-11,12,76.45792701252614,103.396
177,5,2022-05-11,13,79.81627846766008,98.144
178,5,2022-05-12,8,76.28040326167338,83.319
179,5,2022-05-12,9,76.53960229993324,91.965
180,5,2022-05-12,10,74.88607271844151,99.981
181,5,2022-05-12,11,75.53436739003104,105.888
182,5,2022-05-12,12,67.91904993569722,93.115
183,5,2022-05-12,13,75.27351895457072,94.637
184,5,2022-05-12,14,79.38972103805433,96.167
185,5,2022-05-13,9,78.63069228575368,81.258
186,5,2022-05-13,11,78.31700556444488,110.747
187,5,2022-05-13,12,75.4343229100781,110.921
188,5,2022-05-13,13,79.4465936639125,104.046
189,5,2022-05-13,14,79.76550324171453,98.647
190,5,2022-05-14,8,77.24443629567281,101.735
191,5,2022-05-14,9,78.1742158390134,76.788
192,5,2022-05-14,11,78.9293652056886,93.39
193,5,2022-05-14,12,76.25563047253556,89.515
194,5,2022-05-14,13,78.03294705271831,106.203
195,5,2022-05-15,9,63.1020059794567,78.495
196,5,2022-05-16,8,72.11914111526826,93.476
197,5,2022-05-16,9,76.92695889685449,103.512
198,5,2022-05-16,10,79.71355282934304,103.731
199,5,2022-05-16,11,79.27610218653538,92.147
200,5,2022-05-16,13,70.99774014356896,88.952
201,5,2022-05-16,14,71.20748305678117,79.738
202,5,2022-05-17,9,79.35428399152126,109.105
203,5,2022-05-17,10,77.66413046931305,112.108
204,5,2022-05-17,11,77.42370479377223,95.59
205,5,2022-05-18,10,78.45351289792055,94.321
206,5,2022-05-18,11,79.89858472125479,112.096
207,5,2022-05-18,12,77.32067942339252,112.062
208,5,2022-05-18,13,74.78856672164139,106.532
209,5,2022-05-18,14,74.67096579840384,101.776
210,5,2022-05-19,10,79.51418799515886,89.01
211,5,2022-05-19,11,76.09180226533616,112.314
212,5,2022-05-19,13,78.62205940767481,100.454
213,5,2022-05-19,14,74.62510439856732,93.929
214,5,2022-05-20,8,75.3463698898863,79.408
215,5,2022-05-20,9,75.40606900133609,95.766
216,5,2022-05-20,10,74.9954536067435,101.664
217,5,2022-05-20,11,75.05668901230823,107.203
218,5,2022-05-20,12,78.0197867853897,109.957
219,5,2022-05-21,10,79.00004053119297,90.871
220,5,2022-05-21,11,78.4166000536183,111.644
221,5,2022-05-21,12,77.79077547322967,106.846
222,5,2022-05-21,13,78.9819492445086,106.84
223,5,2022-05-21,14,75.83897695504484,108.387
224,5,2022-05-22,10,79.58642279021592,77.331
225,5,2022-05-22,11,79.09990677579246,83.47
226,5,2022-05-22,12,79.55902825028195,102.95
227,5,2022-05-22,13,79.95518911352714,105.706
228,5,2022-05-22,14,79.9961573195731,97.557
229,5,2022-05-23,9,72.18332223160473,103.21
230,5,2022-05-23,11,68.99681618526984,112.142
231,5,2022-05-23,12,72.81199131051093,94.684
232,5,2022-05-23,13,79.59509335700017,95.753
233,5,2022-05-24,8,74.72169656742892,82.883
234,5,2022-05-24,9,77.06176727183951,87.682
235,5,2022-05-24,10,77.43804053646079,99.702
236,5,2022-05-24,11,74.86902843125736,85.671
237,5,2022-05-24,13,79.31047299144345,104.551
238,5,2022-05-24,14,79.93867805368018,101.542
239,5,2022-05-25,8,76.43209482189513,80.164
240,5,2022-05-25,9,77.366785262205,81.998
241,5,2022-05-25,10,78.47266852369538,91.966
242,5,2022-05-25,11,78.21663003328761,91.649
243,5,2022-05-25,12,77.8460246392194,94.559
244,5,2022-05-25,13,74.31986447714894,80.532
245,5,2022-05-26,10,78.39755978530712,76.483
246,5,2022-05-26,11,79.78389061649955,89.946
247,5,2022-05-26,13,76.77295549747804,84.332
248,5,2022-05-26,14,64.81610803420415,90.632
249,5,2022-05-27,8,77.44530550360165,77.006
250,5,2022-05-27,9,75.70245431626316,91.673
251,5,2022-05-27,10,75.30019489003375,96.552
252,5,2022-05-27,11,76.17461821534171,99.915
253,5,2022-05-27,12,77.6688719661094,99.261
254,5,2022-05-27,13,79.90403211761014,93.896
255,5,2022-05-27,14,75.92936104637771,80.711
256,5,2022-05-28,8,76.49437618750208,77.537
257,5,2022-05-28,9,78.01828730762655,91.34
258,5,2022-05-28,10,75.6995386466543,100.529
259,5,2022-05-28,11,77.38122207123446,106.89
260,5,2022-05-28,12,79.87643536472925,108.989
261,5,2022-05-29,8,75.70408674673469,77.881
262,5,2022-05-29,9,75.40600488056273,92.884
263,5,2022-05-29,10,76.37606405749816,99.506
264,5,2022-05-29,11,73.16312422280527,106.244
265,5,2022-05-29,12,73.7440122976668,94.549
266,5,2022-05-29,13,79.57661481584671,94.341
267,5,2022-05-29,14,75.01567924538439,81.401
268,5,2022-05-30,8,76.01280932476246,77.612
269,5,2022-05-30,9,75.20804584366641,88.841
270,5,2022-05-30,10,74.96419717809883,95.554
271,5,2022-05-30,11,75.81527229928182,100.693
272,5,2022-05-30,12,76.97475919918956,99.629
273,5,2022-05-30,13,79.91347499430974,96.24
274,5,2022-05-31,9,75.59057886412738,87.755
275,5,2022-05-31,10,71.6461239144751,88.267
276,5,2022-05-31,11,65.56796735287081,87.308
277,5,2022-05-31,12,74.92839553911743,94.214
278,5,2022-05-31,13,79.8706310784728,96.13
279,5,2022-05-31,14,79.8835572132534,86.856
280,6,2022-06-01,8,75.24708605634865,77.023
281,6,2022-06-01,9,76.32680591654216,92.035
282,6,2022-06-01,10,75.95814465503305,98.313
283,6,2022-06-01,11,76.26026267737582,102.149
284,6,2022-06-01,12,77.82270735263876,102.851
285,6,2022-06-01,13,79.84070588253324,96.52
286,6,2022-06-02,8,75.584897903655,77.369
287,6,2022-06-02,9,77.74502987346656,96.826
288,6,2022-06-02,10,79.88754695903413,99.08
289,6,2022-06-02,11,76.54751989168828,101.406
290,6,2022-06-02,12,76.95994682407468,100.232
291,6,2022-06-02,13,79.10279024955356,101.114
292,6,2022-06-02,14,79.82084561090966,99.763
293,6,2022-06-03,8,76.45722004988441,81.473
294,6,2022-06-03,9,77.38551227538036,84.181
295,6,2022-06-03,10,77.26862984098211,97.368
296,6,2022-06-03,11,76.36693879596976,101.553
297,6,2022-06-03,12,76.38153367712927,100.445
298,6,2022-06-03,13,79.94867316542879,96.183
299,6,2022-06-03,14,76.85066581791692,87.567
300,6,2022-06-04,8,75.77113409375889,80.266
301,6,2022-06-04,9,75.14895579097272,91.694
302,6,2022-06-04,10,75.69070887989224,101.662
303,6,2022-06-04,11,75.42381242081461,103.113
304,6,2022-06-04,12,76.42215403602437,102.027
305,6,2022-06-04,13,79.87744078642825,99.662
306,6,2022-06-05,8,76.16659344641849,76.453
307,6,2022-06-05,9,76.47693660046974,89.016
308,6,2022-06-05,10,75.26316672803904,96.195
309,6,2022-06-05,11,75.68524337153194,99.779
310,6,2022-06-05,12,76.79852071066618,102.389
311,6,2022-06-05,13,79.88520892002543,95.881
312,6,2022-06-05,14,78.40180224489876,95.827
313,6,2022-06-06,9,76.7450092053878,92.676
314,6,2022-06-06,10,76.08071087827922,101.762
315,6,2022-06-06,11,76.55379400449188,100.566
316,6,2022-06-06,12,78.86675134424831,100.283
317,6,2022-06-06,13,79.95607807239551,92.64
318,6,2022-06-07,8,75.2454164801238,78.914
319,6,2022-06-07,9,75.80876017745854,91.202
320,6,2022-06-07,10,75.27071785766924,100.507
321,6,2022-06-07,11,76.10352905258078,102.659
322,6,2022-06-07,12,78.48207759471654,102.843
323,6,2022-06-07,13,77.69842269897194,99.811
324,6,2022-06-07,14,75.34965230928287,93.62
325,6,2022-06-08,9,79.28385712713126,99.564
326,6,2022-06-08,10,78.17370687809198,100.383
327,6,2022-06-08,11,79.67636208686176,105.665
328,6,2022-06-08,12,76.97899031600033,101.518
329,6,2022-06-08,13,79.88733929632714,97.306
330,6,2022-06-09,8,76.52192227924809,88.438
331,6,2022-06-09,9,74.51627316397652,110.549
332,6,2022-06-09,10,76.1280176624621,107.662
333,6,2022-06-09,11,76.05204465536313,105.244
334,6,2022-06-09,12,74.06311699229317,105.654
335,6,2022-06-09,13,79.6712794963674,100.001
336,6,2022-06-10,9,78.01990314070927,78.44
337,6,2022-06-10,10,79.45812394444235,85.283
338,6,2022-06-10,11,79.17631860874785,87.262
339,6,2022-06-10,12,79.24041373678808,80.562
340,6,2022-06-11,9,76.96118863735836,85.556
341,6,2022-06-11,10,76.18187291608415,92.78
342,6,2022-06-11,11,77.41532434797045,96.691
343,6,2022-06-11,12,78.10570445237505,86.323
344,6,2022-06-11,13,78.9623728531224,86.821
345,6,2022-06-12,8,76.3689907963429,79.885
346,6,2022-06-12,9,75.72641135743379,91.758
347,6,2022-06-12,10,75.10295731051522,101.322
348,6,2022-06-12,11,75.36997004876541,102.828
349,6,2022-06-12,12,77.58518062805116,101.226
350,6,2022-06-12,13,78.80262106308862,96.621
351,6,2022-06-12,14,77.04003594503257,84.521
352,6,2022-06-13,9,75.04777879826457,90.183
353,6,2022-06-13,10,74.7739534758276,97.795
354,6,2022-06-13,11,75.82530285399413,101.218
355,6,2022-06-13,12,77.16488397911618,98.698
356,6,2022-06-13,13,79.3132176733622,95.764
357,6,2022-06-13,14,79.9455604182733,83.347
358,6,2022-06-14,9,76.41475176111494,91.823
359,6,2022-06-14,10,75.81395372984792,99.811
360,6,2022-06-14,11,77.95621270605086,101.133
361,6,2022-06-14,12,79.59880785079105,86.043
362,6,2022-06-14,13,79.9078887848569,90.172
363,6,2022-06-15,9,77.11875168972274,81.378
364,6,2022-06-15,10,77.148805929715,96.133
365,6,2022-06-15,11,78.85865996710565,94.722
366,6,2022-06-15,12,79.7931585382112,92.443
367,6,2022-06-15,13,79.64482541973089,93.424
368,6,2022-06-15,14,79.67295936904942,84.322
369,6,2022-06-16,9,75.22198512926734,90.157
370,6,2022-06-16,10,77.07410623541449,99.7
371,6,2022-06-16,11,75.95266198688712,101.603
372,6,2022-06-16,12,77.04265165152505,100.805
373,6,2022-06-16,13,79.24805842225473,94.792
374,6,2022-06-17,8,74.36498246675214,76.074
375,6,2022-06-17,9,74.99738531534528,90.191
376,6,2022-06-17,10,74.40619041267587,98.478
377,6,2022-06-17,11,74.91225499230603,99.73
378,6,2022-06-17,12,76.37114367294737,97.894
379,6,2022-06-17,13,79.83800722199635,92.728
380,6,2022-06-17,14,79.20571468198214,76.901
381,6,2022-06-18,8,75.11623073692118,77.132
382,6,2022-06-18,9,74.8406382265872,88.802
383,6,2022-06-18,10,75.00908142889014,95.183
384,6,2022-06-18,11,75.10984008135952,98.814
385,6,2022-06-18,12,76.37648214122338,97.034
386,6,2022-06-18,13,79.33941955033158,93.863
387,6,2022-06-18,14,79.5273696152965,84.367
388,6,2022-06-19,9,74.58523757632469,90.757
389,6,2022-06-19,10,74.16005179823861,99.565
390,6,2022-06-19,11,76.40545241604893,101.302
391,6,2022-06-19,12,77.4233352451405,100.167
392,6,2022-06-19,13,79.42433371205247,97.66
393,6,2022-06-19,14,79.96272196982278,87.007
394,6,2022-06-20,8,74.29587277230024,76.82
395,6,2022-06-20,9,75.16119807979567,88.602
396,6,2022-06-20,10,75.00186333600499,95.205
397,6,2022-06-20,11,75.80187926433622,98.184
398,6,2022-06-20,12,76.27789193231268,96.906
399,6,2022-06-20,13,79.6259633443706,92.407
400,6,2022-06-21,8,74.34224863499684,76.614
401,6,2022-06-21,9,74.23084076046395,87.334
402,6,2022-06-21,10,74.36303905911865,96.423
403,6,2022-06-21,11,75.43880031402988,100.983
404,6,2022-06-21,12,76.94943015834352,100.44
405,6,2022-06-21,13,79.39169534435784,94.409
406,6,2022-06-21,14,79.92113197219038,84.356
407,6,2022-06-22,9,75.14483486674692,95.333
408,6,2022-06-22,10,74.33074251132432,98.661
409,6,2022-06-22,11,76.03461221163157,102.157
410,6,2022-06-22,12,75.37215109892823,104.165
411,6,2022-06-22,13,79.72228384015861,100.164
412,6,2022-06-22,14,79.01896550765667,85.478
413,6,2022-06-23,9,76.19471453288332,83.024
414,6,2022-06-23,10,76.2602650983563,97.961
415,6,2022-06-23,11,77.42320774422275,95.365
416,6,2022-06-23,12,78.24718538649121,99.818
417,6,2022-06-23,13,79.1067069757595,98.016
418,6,2022-06-23,14,79.85425292544329,88.173
419,6,2022-06-24,9,74.97079753164917,97.703
420,6,2022-06-24,10,75.77678456624096,102.064
421,6,2022-06-24,11,75.75025603951768,99.938
422,6,2022-06-24,12,76.82708452911258,97.481
423,6,2022-06-24,13,79.67218962256025,77.31
424,6,2022-06-24,14,79.9997101136902,82.204
425,6,2022-06-25,9,76.04657763734235,89.98
426,6,2022-06-25,10,76.04195871575935,105.022
427,6,2022-06-25,11,76.86584058977878,100.804
428,6,2022-06-25,12,77.88313621586718,86.846
429,6,2022-06-25,13,77.63416535808655,94.557
430,6,2022-06-25,14,79.86251375839817,85.576
431,6,2022-06-27,9,74.0106216605736,87.581
432,6,2022-06-27,10,73.84406271657015,97.2
