Ambient temperature(℃),PV Temperature(℃),Wind speed(m/s),Daily irradiation(MJ/㎡),Irradiance(W/㎡),Grid voltage/Grid AB line voltage(V),BC line voltage(V),CA line voltage(V),Phase A voltage(V),Phase B voltage(V),Phase C voltage(V),Grid current/Grid phase A current(A),Phase B current(A),Phase C current(A),Inverter efficiency(%),Device internal temperature(℃),Power factor,Grid frequency(Hz),Active power(kW),Output reactive power(kvar),Daily energy(kWh),Total input power(kW),PV1 input voltage(V),PV2 input voltage(V),PV3 input voltage(V),PV4 input voltage(V),PV5 input voltage(V),PV6 input voltage(V),PV7 input voltage(V),PV8 input voltage(V),PV9 input voltage(V),PV10 input voltage(V),PV11 input voltage(V),PV12 input voltage(V),PV13 input voltage(V),PV14 input voltage(V),PV15 Input Voltage(V),PV16 Input Voltage(V),PV17 Input Voltage(V),PV18 Input Voltage(V),PV19 Input Voltage(V),PV20 Input Voltage(V),PV1 input current(A),PV2 input current(A),PV3 input current(A),PV4 input current(A),PV5 input current(A),PV6 input current(A),PV7 input current(A),PV8 input current(A),PV9 input current(A),PV10 input current(A),PV11 input current(A),PV12 input current(A),PV13 input current(A),PV14 input current(A),PV15 Input Current(A),PV16 Input Current(A),PV17 Input Current(A),PV18 Input Current(A),PV19 Input Current(A),PV20 Input Current(A),Cumulative energy(kWh),Inverter startup time,Inverter shutdown time,MPPT 1 DC cumulative energy(kWh),MPPT 2 DC cumulative energy(kWh),MPPT 3 DC cumulative energy(kWh),MPPT 4 DC cumulative energy(kWh),MPPT 5 DC cumulative energy(kWh),MPPT 6 DC cumulative energy(kWh),MPPT 7 DC cumulative energy(kWh),MPPT 8 DC cumulative energy(kWh),MPPT 9 DC cumulative energy(kWh),MPPT 10 DC cumulative energy(kWh),Monthly energy(kWh),Annual energy(kWh),Voltage between PV– and the ground(V),Total DC input energy(kWh),Accumulated amount of absorbed electricity(kWh),time,month,day,hour,dayofweek,dayname,hourofweek,hourofmonth,Tcell,Pm,Hieu suat
35.2,52.7,2.6,15.296,950.6,395.6,391.8,392.3,230.8,226.8,226.1,138.388,137.827,138.049,98.11,76.9,0.998,49.89,94.117,-0.811,367.67,95.93,684.1,684.1,669.7,669.7,668.6,668.6,678.8,678.8,667.5,667.5,676.4,676.4,659.9,659.9,667.8,667.8,674.2,674.2,675.0,675.0,14.2,0.0,0.0,14.11,14.14,0.0,0.0,14.22,14.27,0.0,0.0,14.25,14.47,0.0,14.39,0.0,0.0,14.5,14.21,0.0,54108.82,2022/06/21 05:00:47,2022/06/20 18:21:21,5630.03,5459.67,5494.7,5551.4,5486.59,5554.58,5556.74,5532.22,5555.93,5471.54,13583.29,54105.98,0.0,55293.4,0.0,2022-06-21 12:15:00,6,21,12,1,Tuesday,36,492,41.14125,124875.08389457501,76.82076921044415
34.0,48.5,3.8,18.227,945.9,385.5,382.7,384.4,225.3,221.4,220.8,131.172,130.694,130.866,97.96,74.9,0.998,50.18,87.31,0.278,449.53,89.174,727.3,727.3,727.0,727.0,726.7,726.7,726.2,726.2,726.6,726.6,726.8,726.8,726.7,726.7,726.9,726.9,727.5,727.5,726.7,726.7,12.57,0.0,0.0,11.68,11.46,0.0,0.0,12.5,11.66,0.0,0.0,12.74,11.26,0.0,12.21,0.0,0.0,12.79,12.35,0.0,54190.68,2022/06/21 05:00:47,2022/06/20 18:21:21,5638.56,5467.87,5502.91,5559.85,5494.85,5563.05,5564.97,5540.57,5564.47,5479.89,13665.06,54187.75,0.0,55376.99,0.0,2022-06-21 13:10:00,6,21,13,1,Tuesday,37,493,39.911875,124807.81892108679,71.4490492429667
33.5,50.5,2.5,9.774,955.0,394.0,390.7,391.4,229.8,226.0,225.9,141.322,140.909,140.991,98.13,71.1,1.0,50.14,96.046,1.267,269.97,97.846,652.0,652.0,649.3,649.3,645.9,645.9,644.7,644.7,646.0,646.0,652.1,652.1,619.9,619.9,651.7,651.7,659.2,659.2,646.5,646.5,15.24,0.0,0.0,14.78,15.05,0.0,0.0,15.38,14.99,0.0,0.0,15.25,15.67,0.0,14.95,0.0,0.0,15.17,15.15,0.0,54668.58,2022/06/22 05:03:16,2022/06/21 18:22:12,5687.98,5516.02,5551.6,5608.77,5543.58,5612.01,5613.86,5589.59,5613.46,5528.29,14142.88,54665.57,0.0,55865.16,0.0,2022-06-22 10:40:00,6,22,10,2,Wednesday,58,514,39.46875,126497.01405782273,77.35044240275415
33.3,50.6,2.0,14.707,952.0,397.8,394.7,395.3,232.4,228.8,227.6,141.175,140.84,140.768,98.22,74.9,1.0,49.97,96.912,-0.878,404.03,98.708,659.2,659.2,650.6,650.6,642.6,642.6,648.7,648.7,648.6,648.6,650.3,650.3,631.4,631.4,638.3,638.3,651.6,651.6,643.9,643.9,15.09,0.0,0.0,15.0,15.12,0.0,0.0,15.37,15.21,0.0,0.0,15.3,15.51,0.0,15.46,0.0,0.0,15.23,15.32,0.0,54802.55,2022/06/22 05:03:16,2022/06/21 18:22:12,5701.97,5529.53,5565.09,5622.6,5557.08,5625.79,5627.3,5603.17,5627.4,5541.9,14276.94,54799.63,0.0,56001.83,0.0,2022-06-22 12:05:00,6,22,12,2,Wednesday,60,516,39.25,126348.18956737871,78.12379452209024
33.2,50.5,4.7,14.979,952.4,398.8,396.3,396.3,232.4,228.8,227.6,141.046,140.766,140.886,98.11,74.9,1.0,49.92,97.183,0.172,411.73,99.015,680.4,680.4,666.4,666.4,666.4,666.4,677.0,677.0,666.0,666.0,674.4,674.4,657.4,657.4,664.8,664.8,668.2,668.2,671.7,671.7,14.68,0.0,0.0,14.48,14.44,0.0,0.0,14.59,14.58,0.0,0.0,14.61,14.79,0.0,14.69,0.0,0.0,14.9,14.67,0.0,54810.25,2022/06/22 05:03:16,2022/06/21 18:22:12,5702.78,5530.3,5565.87,5623.39,5557.86,5626.58,5628.08,5603.95,5628.19,5542.68,14284.73,54807.42,0.0,56009.68,0.0,2022-06-22 12:10:00,6,22,12,2,Wednesday,60,516,39.1525,126318.90799472533,78.38493980975085
33.8,51.1,2.7,15.109,951.4,394.0,391.3,392.1,230.9,226.4,226.1,141.435,140.883,141.036,98.2,74.1,1.0,49.67,96.308,0.54,413.91,98.104,675.2,675.2,673.9,673.9,674.9,674.9,674.8,674.8,675.2,675.2,674.6,674.6,674.6,674.6,674.7,674.7,675.3,675.3,674.4,674.4,14.65,0.0,0.0,14.3,14.29,0.0,0.0,14.67,14.36,0.0,0.0,14.65,14.14,0.0,14.32,0.0,0.0,14.65,14.15,0.0,55514.83,2022/06/23 04:58:25,2022/06/22 18:18:23,5775.51,5601.35,5637.48,5695.66,5629.59,5698.8,5699.56,5676.13,5700.76,5614.04,14989.22,55511.91,0.0,56728.88,0.0,2022-06-23 12:45:00,6,23,12,3,Thursday,84,540,39.746249999999996,125941.6143833231,77.89641293735131
35.1,53.7,4.0,8.543,946.6,392.4,389.4,390.1,229.2,225.0,224.7,139.364,138.961,139.159,98.19,69.1,1.0,50.17,94.387,1.701,238.26,96.127,655.8,655.8,644.7,644.7,644.0,644.0,656.5,656.5,640.0,640.0,655.3,655.3,638.8,638.8,646.3,646.3,657.1,657.1,650.8,650.8,15.01,0.0,0.0,14.83,14.96,0.0,0.0,15.06,14.96,0.0,0.0,14.93,14.85,0.0,14.73,0.0,0.0,14.71,14.21,0.0,56020.61,2022/06/24 04:58:34,2022/06/23 18:18:26,5827.61,5652.45,5689.05,5747.44,5681.18,5750.65,5751.28,5728.06,5752.64,5665.21,15495.0,56017.69,0.0,57245.57,0.0,2022-06-24 10:30:00,6,24,10,4,Friday,106,562,41.01625,124526.50874798762,77.19400549046023
33.1,51.5,2.7,10.253,951.0,397.3,394.1,394.2,232.3,228.0,226.9,139.582,139.294,139.392,98.13,72.7,1.0,50.13,95.656,1.102,285.96,97.459,652.3,652.3,644.2,644.2,644.0,644.0,659.8,659.8,640.2,640.2,655.2,655.2,632.9,632.9,637.0,637.0,651.2,651.2,650.2,650.2,14.96,0.0,0.0,14.81,15.08,0.0,0.0,14.97,14.99,0.0,0.0,15.02,15.23,0.0,15.29,0.0,0.0,15.0,14.74,0.0,56068.23,2022/06/24 04:58:34,2022/06/23 18:18:26,5832.54,5657.25,5693.87,5752.35,5686.01,5755.56,5756.13,5732.94,5757.56,5670.04,15542.53,56065.22,0.0,57294.25,0.0,2022-06-24 11:00:00,6,24,11,4,Friday,107,563,39.04375,126224.8739250409,77.21061385878379
32.9,50.8,2.6,11.66,948.6,398.2,395.2,395.4,232.1,227.8,227.7,138.331,137.928,137.857,98.16,72.6,1.0,50.13,94.842,-0.015,316.28,96.61,658.2,658.2,646.9,646.9,647.3,647.3,664.7,664.7,641.2,641.2,664.4,664.4,634.8,634.8,647.2,647.2,653.2,653.2,640.8,640.8,14.93,0.0,0.0,14.8,14.84,0.0,0.0,14.82,15.0,0.0,0.0,14.7,15.11,0.0,14.89,0.0,0.0,15.03,14.97,0.0,57563.55,2022/06/27 05:00:28,2022/06/26 18:10:02,5987.21,5808.3,5846.18,5906.13,5838.97,5909.54,5909.24,5886.92,5911.73,5819.89,17037.94,57560.63,0.0,58824.11,0.0,2022-06-27 11:15:00,6,27,11,0,Monday,11,635,38.82875,126074.88877740463,76.62905828183814
32.9,50.0,2.8,11.943,950.7,399.3,396.2,397.4,233.1,228.8,228.7,135.123,134.701,134.931,98.16,73.0,1.0,50.25,93.155,0.697,324.19,94.882,689.4,689.4,676.3,676.3,677.3,677.3,688.2,688.2,678.1,678.1,687.3,687.3,672.1,672.1,680.3,680.3,682.7,682.7,672.7,672.7,13.78,0.0,0.0,13.76,13.72,0.0,0.0,13.91,13.94,0.0,0.0,13.92,14.1,0.0,14.0,0.0,0.0,14.18,13.78,0.0,57571.46,2022/06/27 05:00:28,2022/06/26 18:10:02,5988.02,5809.1,5846.98,5906.95,5839.77,5910.36,5910.05,5887.73,5912.56,5820.69,17045.84,57568.53,0.0,58832.21,0.0,2022-06-27 11:20:00,6,27,11,0,Monday,11,635,38.841875,126346.03394245898,75.09693580347093
33.2,50.5,2.2,12.229,951.4,396.9,393.9,394.1,232.0,227.7,227.7,139.443,139.241,139.179,98.16,73.2,1.0,50.11,95.362,0.877,332.08,97.169,658.9,658.9,646.9,646.9,647.2,647.2,658.7,658.7,647.2,647.2,658.4,658.4,635.1,635.1,647.2,647.2,659.1,659.1,640.8,640.8,14.98,0.0,0.0,14.76,14.79,0.0,0.0,14.89,14.85,0.0,0.0,14.8,15.21,0.0,15.13,0.0,0.0,15.09,14.9,0.0,57579.35,2022/06/27 05:00:28,2022/06/26 18:10:02,5988.84,5809.89,5847.78,5907.76,5840.58,5911.17,5910.85,5888.54,5913.38,5821.48,17053.73,57576.42,0.0,58840.27,0.0,2022-06-27 11:25:00,6,27,11,0,Monday,11,635,39.14625,126254.37667991722,76.96287649999249
32.6,49.7,3.1,12.516,952.8,396.0,393.8,394.1,232.0,227.7,226.7,139.166,138.721,138.592,98.16,73.6,1.0,49.9,95.004,0.859,340.06,96.765,662.1,662.1,646.9,646.9,647.2,647.2,658.0,658.0,641.1,641.1,655.0,655.0,631.1,631.1,641.8,641.8,650.6,650.6,636.5,636.5,14.92,0.0,0.0,14.76,14.79,0.0,0.0,15.03,15.18,0.0,0.0,15.06,15.37,0.0,15.13,0.0,0.0,14.95,14.9,0.0,57587.33,2022/06/27 05:00:28,2022/06/26 18:10:02,5989.67,5810.7,5848.59,5908.59,5841.39,5912.01,5911.67,5889.36,5914.2,5822.28,17061.63,57584.32,0.0,58848.46,0.0,2022-06-27 11:30:00,6,27,11,0,Monday,11,635,38.555,126799.44298397549,76.31342671767798
32.0,49.3,2.8,12.801,951.5,396.0,392.7,393.0,232.0,227.7,226.7,139.419,138.907,138.781,98.16,73.8,1.0,49.93,94.909,0.44,347.95,96.678,663.5,663.5,646.9,646.9,645.4,645.4,661.0,661.0,647.2,647.2,652.4,652.4,630.9,630.9,644.8,644.8,649.0,649.0,631.4,631.4,14.73,0.0,0.0,14.76,14.79,0.0,0.0,15.03,14.92,0.0,0.0,15.1,15.4,0.0,15.11,0.0,0.0,15.1,15.03,0.0,57595.22,2022/06/27 05:00:28,2022/06/26 18:10:02,5990.49,5811.49,5849.39,5909.4,5842.19,5912.82,5912.48,5890.18,5915.02,5823.07,17069.61,57592.3,0.0,58856.53,0.0,2022-06-27 11:35:00,6,27,11,0,Monday,11,635,37.946875,126995.46900478232,76.12712544599474
32.5,49.8,2.8,13.087,951.4,395.9,392.6,392.9,231.0,226.6,226.7,139.382,139.151,139.027,98.16,74.0,1.0,49.93,94.995,0.123,355.83,96.756,653.0,653.0,646.9,646.9,647.1,647.1,658.7,658.7,644.9,644.9,658.5,658.5,628.8,628.8,647.2,647.2,653.2,653.2,646.8,646.8,14.97,0.0,0.0,14.81,14.79,0.0,0.0,14.74,15.14,0.0,0.0,15.06,15.45,0.0,15.2,0.0,0.0,14.88,14.68,0.0,57603.1,2022/06/27 05:00:28,2022/06/26 18:10:02,5991.25,5812.24,5850.15,5910.17,5842.96,5913.59,5913.25,5890.95,5915.79,5823.84,17077.49,57600.18,0.0,58864.62,0.0,2022-06-27 11:40:00,6,27,11,0,Monday,11,635,38.44625,126679.11608030101,76.37880891011825
32.3,50.1,1.9,13.372,951.3,395.1,392.5,393.0,231.0,226.6,225.7,140.1,139.664,139.788,98.16,74.2,1.0,50.14,95.283,-0.674,363.8,97.059,652.9,652.9,646.9,646.9,647.2,647.2,652.7,652.7,641.2,641.2,652.5,652.5,634.9,634.9,647.2,647.2,647.2,647.2,634.8,634.8,14.82,0.0,0.0,14.82,14.85,0.0,0.0,14.88,15.09,0.0,0.0,14.87,15.36,0.0,15.1,0.0,0.0,15.12,15.04,0.0,57611.07,2022/06/27 05:00:28,2022/06/26 18:10:02,5992.13,5813.1,5851.0,5911.04,5843.81,5914.45,5914.1,5891.81,5916.66,5824.67,17085.46,57608.15,0.0,58872.77,0.0,2022-06-27 11:45:00,6,27,11,0,Monday,11,635,38.245625,126787.52160946275,76.55248621308805
33.1,52.2,3.3,13.658,948.1,395.1,391.4,393.0,231.0,226.6,225.7,139.759,139.267,139.397,98.16,74.4,1.0,50.17,95.039,0.35,371.69,96.81,651.5,651.5,651.6,651.6,648.6,648.6,653.2,653.2,646.7,646.7,658.5,658.5,635.9,635.9,647.1,647.1,654.4,654.4,640.8,640.8,14.86,0.0,0.0,14.66,14.83,0.0,0.0,15.06,14.94,0.0,0.0,14.88,15.34,0.0,14.93,0.0,0.0,15.13,14.89,0.0,57618.96,2022/06/27 05:00:28,2022/06/26 18:10:02,5992.95,5813.89,5851.81,5911.85,5844.61,5915.28,5914.91,5892.62,5917.47,5825.46,17093.35,57616.04,0.0,58880.85,0.0,2022-06-27 11:50:00,6,27,11,0,Monday,11,635,39.025625000000005,125889.39203408822,76.90084004360422
33.3,52.5,3.4,13.941,947.9,391.9,389.1,389.5,230.0,224.6,224.7,139.672,139.277,139.5,98.16,74.6,1.0,50.1,94.376,-0.166,379.56,96.116,669.5,669.5,656.5,656.5,658.8,658.8,667.1,667.1,658.9,658.9,667.2,667.2,653.0,653.0,659.7,659.7,658.8,658.8,652.1,652.1,14.3,0.0,0.0,14.31,14.28,0.0,0.0,14.42,14.39,0.0,0.0,14.42,14.61,0.0,14.51,0.0,0.0,14.7,14.34,0.0,57626.83,2022/06/27 05:00:28,2022/06/26 18:10:02,5993.77,5814.68,5852.6,5912.67,5845.42,5916.09,5915.72,5893.42,5918.3,5826.25,17101.3,57623.99,0.0,58888.92,0.0,2022-06-27 11:55:00,6,27,11,0,Monday,11,635,39.224374999999995,125742.68388669497,76.43864201801898
33.6,53.2,1.6,14.226,946.0,391.9,388.1,389.5,229.0,224.6,223.7,137.226,136.71,136.991,98.16,74.8,1.0,50.05,92.547,-0.795,387.4,94.273,684.3,684.3,672.6,672.6,674.1,674.1,682.7,682.7,674.1,674.1,682.5,682.5,667.5,667.5,675.1,675.1,676.5,676.5,666.6,666.6,13.87,0.0,0.0,13.86,13.85,0.0,0.0,13.97,13.95,0.0,0.0,13.98,14.17,0.0,14.07,0.0,0.0,14.24,13.91,0.0,57634.67,2022/06/27 05:00:28,2022/06/26 18:10:02,5994.58,5815.47,5853.4,5913.48,5846.22,5916.9,5916.52,5894.23,5919.11,5827.04,17109.06,57631.75,0.0,58896.95,0.0,2022-06-27 12:00:00,6,27,12,0,Monday,12,636,39.5125,125316.8078854346,75.22773807499547
35.9,55.0,2.6,11.876,947.3,399.1,396.5,396.5,232.4,229.2,228.1,134.507,134.214,134.258,98.2,72.7,1.0,50.04,92.598,0.161,319.05,94.295,642.2,642.2,637.6,637.6,637.6,637.6,643.5,643.5,631.9,631.9,640.1,640.1,622.7,622.7,631.7,631.7,646.7,646.7,635.2,635.2,14.84,0.0,0.0,14.7,14.69,0.0,0.0,14.75,14.89,0.0,0.0,14.77,15.0,0.0,14.93,0.0,0.0,14.94,14.64,0.0,58907.49,2022/06/29 05:04:20,2022/06/28 18:23:38,6126.11,5943.92,5982.83,6044.29,5976.18,6047.74,6046.83,6025.35,6050.44,5954.75,18381.88,58904.57,0.0,60198.44,0.0,2022-06-29 11:20:00,6,29,11,2,Wednesday,59,683,41.820625,124145.12047331822,75.95546215629656
34.6,53.8,3.7,12.161,950.9,397.0,394.4,394.5,232.4,228.1,228.1,134.701,134.592,134.533,98.2,73.1,1.0,49.89,92.508,-0.036,326.76,94.203,644.3,644.3,631.5,631.5,634.8,634.8,649.5,649.5,631.9,631.9,649.3,649.3,631.3,631.3,634.5,634.5,643.8,643.8,631.6,631.6,14.75,0.0,0.0,14.73,14.79,0.0,0.0,14.45,15.01,0.0,0.0,14.55,14.86,0.0,15.02,0.0,0.0,14.83,14.65,0.0,58915.2,2022/06/29 05:04:20,2022/06/28 18:23:38,6126.91,5944.69,5983.6,6045.09,5976.96,6048.53,6047.62,6026.14,6051.24,5955.53,18389.59,58912.28,0.0,60206.31,0.0,2022-06-29 11:25:00,6,29,11,2,Wednesday,59,683,40.543125,125391.96374298427,75.12682407070979
35.8,53.8,2.1,12.446,953.6,398.1,395.4,395.5,232.4,228.1,228.1,135.685,135.565,135.448,98.2,73.5,1.0,49.96,93.309,-0.126,334.46,95.019,652.0,652.0,643.5,643.5,631.5,631.5,637.6,637.6,631.9,631.9,646.4,646.4,628.2,628.2,625.8,625.8,640.9,640.9,629.0,629.0,14.87,0.0,0.0,14.73,15.0,0.0,0.0,15.01,14.93,0.0,0.0,14.77,15.15,0.0,15.24,0.0,0.0,14.99,14.86,0.0,58922.9,2022/06/29 05:04:20,2022/06/28 18:23:38,6127.7,5945.47,5984.38,6045.88,5977.74,6049.33,6048.41,6026.94,6052.05,5956.3,18397.38,58920.07,0.0,60214.2,0.0,2022-06-29 11:30:00,6,29,11,2,Wednesday,59,683,41.76,125007.63070554618,76.01055988639285
36.2,55.2,3.8,12.729,949.6,398.1,395.5,395.5,232.4,229.1,228.1,135.122,134.888,134.91,98.2,73.9,1.0,49.91,92.974,0.567,342.16,94.678,654.8,654.8,643.5,643.5,634.0,634.0,643.5,643.5,631.8,631.8,637.6,637.6,631.1,631.1,629.2,629.2,643.6,643.6,637.5,637.5,14.62,0.0,0.0,14.48,14.59,0.0,0.0,14.94,14.77,0.0,0.0,14.88,14.95,0.0,14.95,0.0,0.0,14.74,14.83,0.0,58930.69,2022/06/29 05:04:20,2022/06/28 18:23:38,6128.51,5946.25,5985.17,6046.68,5978.53,6050.12,6049.2,6027.73,6052.85,5957.09,18405.07,58927.76,0.0,60222.13,0.0,2022-06-29 11:35:00,6,29,11,2,Wednesday,59,683,42.135000000000005,124256.06881981132,76.19587590308876
34.6,52.5,3.5,13.014,953.7,396.0,393.2,393.3,231.4,227.1,227.0,137.015,136.8,136.754,98.2,74.1,1.0,49.89,93.767,-0.635,349.96,95.486,653.8,653.8,634.4,634.4,643.6,643.6,643.5,643.5,634.5,634.5,645.7,645.7,623.0,623.0,631.4,631.4,646.2,646.2,631.6,631.6,14.84,0.0,0.0,14.6,14.61,0.0,0.0,14.82,14.96,0.0,0.0,15.06,15.32,0.0,15.32,0.0,0.0,14.98,15.01,0.0,58938.4,2022/06/29 05:04:20,2022/06/28 18:23:38,6129.32,5947.04,5985.95,6047.47,5979.32,6050.92,6049.99,6028.52,6053.65,5957.87,18412.79,58935.48,0.0,60230.05,0.0,2022-06-29 11:40:00,6,29,11,2,Wednesday,59,683,40.560625,125750.54177106572,75.93287365221565
33.9,50.1,4.5,10.126,946.2,392.9,390.4,390.9,229.6,225.5,225.3,137.643,137.333,137.387,98.21,71.5,1.0,50.04,93.476,1.647,275.41,95.189,653.6,653.6,642.0,642.0,647.8,647.8,664.9,664.9,648.2,648.2,654.3,654.3,630.4,630.4,647.1,647.1,654.5,654.5,641.8,641.8,14.73,0.0,0.0,14.51,14.34,0.0,0.0,14.41,14.74,0.0,0.0,14.69,15.07,0.0,14.95,0.0,0.0,14.69,14.5,0.0,59547.98,2022/06/30 05:07:34,2022/06/29 18:22:55,6192.19,6008.31,6047.82,6109.82,6041.56,6113.52,6112.55,6091.4,6116.69,6019.25,19022.37,59545.06,0.0,60853.11,0.0,2022-06-30 10:55:00,6,30,10,3,Thursday,82,706,39.81375,125225.26517686213,76.01421315863028
34.2,50.5,6.9,10.691,954.4,395.7,393.7,393.3,230.5,226.6,226.4,137.899,137.599,137.677,98.21,72.7,1.0,50.01,94.288,-0.554,291.01,96.026,653.9,653.9,647.7,647.7,647.9,647.9,665.7,665.7,648.3,648.3,647.6,647.6,636.1,636.1,643.6,643.6,649.6,649.6,641.8,641.8,14.76,0.0,0.0,14.39,14.43,0.0,0.0,14.67,14.76,0.0,0.0,14.83,15.16,0.0,14.89,0.0,0.0,15.03,14.93,0.0,59563.49,2022/06/30 05:07:34,2022/06/29 18:22:55,6193.78,6009.87,6049.39,6111.42,6043.14,6115.12,6114.14,6093.0,6118.31,6020.81,19037.79,59560.48,0.0,60868.98,0.0,2022-06-30 11:05:00,6,30,11,3,Thursday,83,707,40.165000000000006,126096.58875694875,76.15273414341935
35.0,51.4,5.2,11.256,947.8,397.6,395.1,395.5,232.6,227.8,228.4,135.121,134.657,135.012,98.17,73.7,1.0,50.22,92.89,-1.033,306.59,94.612,678.8,678.8,664.1,664.1,664.7,664.7,673.4,673.4,663.4,663.4,672.4,672.4,659.0,659.0,667.0,667.0,671.8,671.8,664.1,664.1,14.14,0.0,0.0,14.08,14.09,0.0,0.0,14.2,14.2,0.0,0.0,14.21,14.43,0.0,14.33,0.0,0.0,14.46,14.16,0.0,59579.07,2022/06/30 05:07:34,2022/06/29 18:22:55,6195.4,6011.43,6050.96,6113.02,6044.71,6116.73,6115.74,6094.6,6119.93,6022.38,19053.46,59576.15,0.0,60884.9,0.0,2022-06-30 11:15:00,6,30,11,3,Thursday,83,707,40.92375,124714.89341542142,75.86263148608113
37.9,54.7,3.2,10.537,947.9,402.1,399.3,399.9,234.4,230.8,229.6,129.339,128.939,129.193,98.19,67.8,0.999,50.13,89.789,-0.686,301.95,91.434,690.3,690.3,700.0,700.0,688.0,688.0,689.4,689.4,697.6,697.6,684.8,684.8,683.4,683.4,679.0,679.0,679.9,679.9,678.6,678.6,12.98,0.0,0.0,13.06,13.13,0.0,0.0,13.24,13.13,0.0,0.0,13.07,13.24,0.0,13.15,0.0,0.0,13.51,13.01,0.0,61181.7,2022/07/04 05:08:36,2022/07/03 18:20:56,6361.09,6174.31,6215.23,6276.75,6209.4,6280.74,6280.37,6259.84,6284.83,6183.14,1243.53,61178.86,0.0,62525.92,0.0,2022-07-04 11:25:00,7,4,11,0,Monday,11,83,43.824374999999996,122999.3873026467,74.33695565899174
33.1,49.6,4.5,13.68,954.0,402.8,399.3,400.3,234.7,230.7,230.7,133.691,133.234,133.473,98.23,73.6,1.0,50.26,92.976,-0.133,375.95,94.661,693.8,693.8,693.4,693.4,693.9,693.9,693.4,693.4,693.8,693.8,693.3,693.3,693.2,693.2,693.4,693.4,693.9,693.9,693.2,693.2,14.24,0.0,0.0,13.46,13.11,0.0,0.0,13.86,13.19,0.0,0.0,13.92,12.82,0.0,13.43,0.0,0.0,13.91,12.88,0.0,61884.31,2022/07/05 05:03:53,2022/07/04 18:21:02,6433.87,6245.84,6286.93,6348.82,6281.18,6352.5,6351.71,6331.69,6356.97,6252.95,1946.05,61881.38,0.0,63242.46,0.0,2022-07-05 12:00:00,7,5,12,1,Tuesday,36,108,39.0625,126740.67950604066,74.68872690988556
33.9,49.7,3.0,14.248,954.2,403.1,399.9,399.9,235.8,230.8,230.5,135.694,135.241,135.57,98.23,74.0,1.0,50.27,94.349,0.538,391.79,96.059,692.2,692.2,689.8,689.8,688.2,688.2,692.0,692.0,685.4,685.4,691.7,691.7,679.3,679.3,690.1,690.1,692.4,692.4,686.5,686.5,14.19,0.0,0.0,13.68,13.61,0.0,0.0,14.03,13.87,0.0,0.0,14.06,14.08,0.0,13.86,0.0,0.0,14.13,13.81,0.0,61900.15,2022/07/05 05:03:53,2022/07/04 18:21:02,6435.53,6247.44,6288.53,6350.44,6282.78,6354.13,6353.31,6333.3,6358.63,6254.54,1961.9,61897.23,0.0,63258.63,0.0,2022-07-05 12:10:00,7,5,12,1,Tuesday,36,108,39.863749999999996,126279.29640817524,76.06868483770013
36.1,56.4,2.3,10.786,953.0,405.1,401.9,401.8,237.0,232.5,231.5,136.202,136.132,136.186,98.2,72.6,1.0,49.96,95.285,-0.611,308.5,97.012,648.2,648.2,634.1,634.1,628.4,628.4,635.5,635.5,628.6,628.6,633.9,633.9,617.4,617.4,627.4,627.4,628.6,628.6,624.9,624.9,15.23,0.0,0.0,15.29,15.29,0.0,0.0,15.54,15.43,0.0,0.0,15.41,15.52,0.0,15.61,0.0,0.0,15.63,15.28,0.0,62487.82,2022/07/06 05:00:41,2022/07/05 18:23:51,6496.34,6306.88,6348.29,6410.7,6342.52,6414.48,6413.22,6393.54,6419.38,6313.47,2549.48,62484.81,0.0,63858.82,0.0,2022-07-06 11:25:00,7,6,11,2,Wednesday,59,131,42.05625,124748.84511915428,77.76585018269199
36.0,56.0,3.8,11.079,951.3,404.3,401.9,401.9,236.0,232.5,231.6,138.4,138.186,138.153,98.2,73.2,1.0,49.86,96.711,0.035,316.55,98.524,635.9,635.9,625.7,625.7,628.3,628.3,630.9,630.9,634.2,634.2,646.1,646.1,620.2,620.2,645.3,645.3,634.4,634.4,630.9,630.9,15.65,0.0,0.0,15.69,15.69,0.0,0.0,15.89,15.15,0.0,0.0,15.19,15.81,0.0,15.28,0.0,0.0,15.72,15.6,0.0,62495.87,2022/07/06 05:00:41,2022/07/05 18:23:51,6497.15,6307.67,6349.08,6411.5,6343.31,6415.29,6414.01,6394.35,6420.2,6314.26,2557.62,62492.95,0.0,63867.03,0.0,2022-07-06 11:30:00,7,6,11,2,Wednesday,59,131,41.945625,124593.45736569891,79.0763833696488
35.9,55.4,1.2,9.444,953.9,396.9,394.6,395.1,232.5,227.7,227.7,138.374,138.003,138.139,98.12,73.6,1.0,50.21,94.702,-0.12,277.5,96.447,668.5,668.5,664.5,664.5,663.6,663.6,660.1,660.1,654.7,654.7,652.6,652.6,644.3,644.3,650.6,650.6,650.9,650.9,646.8,646.8,14.59,0.0,0.0,14.53,14.45,0.0,0.0,14.65,14.56,0.0,0.0,14.55,14.78,0.0,14.78,0.0,0.0,14.96,14.61,0.0,63089.39,2022/07/07 05:10:50,2022/07/06 18:13:43,6558.66,6367.93,6409.73,6472.38,6403.95,6476.15,6474.75,6455.34,6481.45,6373.83,3151.05,63086.38,0.0,64474.17,0.0,2022-07-07 11:10:00,7,7,11,3,Thursday,83,155,41.861875,124883.13459440994,77.22980393888767
